name,lat,lng
Annecy - agence de livraison,6.0788607,45.8814201
Morlaàs - agence de livraison,-0.3079875,43.3263237
Villeneuve-lès-Bouloc - agence de livraison,1.3891034,43.7690752
Toulouse - agence de livraison,1.4230812,43.5686447
Rivesaltes - agence de livraison,2.8825114,42.7982603
Bouc-Bel-Air - agence de livraison,5.3909974,43.4213104
Carros - agence de livraison,7.2134525,43.7841494
Saint-Priest - agence de livraison,4.9136361,45.710243
Longvic - agence de livraison,5.06111,47.285177
Fontaine - agence de livraison,7.0185575,47.6631393
Strasbourg - agence de livraison,7.7387067,48.5526985
Woippy - agence de livraison,6.159283,49.1631949
Ormes - agence de livraison,1.8386924,47.9454097
Carquefou - agence de livraison,-1.5044125,47.2647666
Briec - agence de livraison,-4.026554,48.10514
Moult - agence de livraison,-0.182308,49.114588
Saint-Étienne-du-Rouvray - agence de livraison,1.1160796,49.3986561
Gauchy - agence de livraison,3.3061423,49.8144493
Avion - agence de livraison,2.8300831,50.3910965
Sainghin-en-Mélantois - agence de livraison,3.144654,50.58267
Bonneuil-sur-Marne - agence de livraison,2.5024063,48.781639
Noisy-le-Grand - agence de livraison,2.5828323,48.8308868
Le Blanc-Mesnil - agence de livraison,2.4584593,48.9545831
Paris - agence de livraison,2.3676081,48.8981877
Vélizy-Villacoublay - agence de livraison,2.2134035,48.7847301
Osny - agence de livraison,2.0444872,49.0546175
